Quantitative (1-GRE),Gender,Inst 1 Name
170,Male,Nanyang Tech University
163,Female,Coll William And Mary
161,Female,Visvesvaraya Tech Univ
170,Male,Amrita Vishwa Vidyapeetham
170,Male,Delhi Technological University
160,Female,Anna University - Engineering
,Female,Otterbein College
162,Male,Universitat de Val̬ncia
165,Female,Calif St Univ Channel Islands
162,Female,Northwestern University*
159,Male,Babson College
163,Male,Connecticut College
162,Female,Sikkim Manipal University
167,Male,Nanyang Tech University
,Male,School - Turkey
162,Male,Univ Calif Santa Cruz
167,Male,IIT Kharagpur
158,Female,Univ San Francisco
168,Female,University of Pune
159,Male,Clarkson University
166,Male,University of Rajasthan
168,Female,Birla Institute of Technology
158,Male,Univ San Francisco
170,Female,Tsinghua University
167,Female,Univ Calif Los Angeles
162,Female,Univ Washington Seattle
170,Female,the Hong Kong Polytechnic Univ
167,Female,Fudan University
168,Male,School in India
,Female,InSTEC
170,Male,Indian Institute of Technology
170,Male,Delhi Technological University
168,Male,IIT(ISM) DHANBAD
170,Male,Santa Clara University
170,Female,Nanjing University
170,Female,School - Hong Kong
162,Female,NIT HAMIRPUR
161,Female,Andrews University
,Male,Indian Institute of Technology
163,Female,Jaypee Institute of Informatio
170,Male,Washington University
167,Male,Clemson University
164,Female,University of Nottingham
168,Female,National Taipei University
,Male,Indian Institute of Technology
167,Female,Univ Minnesota Minneapolis*
170,Female,Chinese Univ of Hong Kong
,Female,Peking University
168,Male,Jilin University
165,Male,The University of Manchester
160,Female,University of Illinois Urbana-
163,Male,Rensselaer Poly Institute
159,Female,"UCE,OU"
,Female,Univ Illinois Urbana*
168,Male,University of Delhi
170,Male,Duke University
161,Female,College of Charleston
168,Male,Indian Institute of Technology
164,Male,Suny Coll Oswego
170,Male,ISTANBUL TECHNICAL UNIVERSITY
165,Male,Kocaeli University
161,Female,M.I.T. Pune
165,Male,Indian Institute Of Technology
170,Male,School in India
161,Female,Amrita Vishwa Vidyapeetham
,Female,Chelyabinsk State University
167,Female,Birla Institute of Technology
167,Female,PES Institute of Technology
,Male,Sun Yat-Sen University
168,Female,Univ Michigan Ann Arbor*
170,Female,Hong Kong Polytechnic Univ
167,Female,Jilin University
,Female,Shanghai Univ of Finance &Econ
170,Male,Peking University
168,Female,Zhejiang University
,Female,Beijing Univ of Posts & Teleco
170,Female,Univ Calif San Diego
170,Male,Rutgers U Univ C N B
170,Male,Brigham Young Univ Utah
167,Male,School - China
166,Male,Elmhurst College
163,Male,"American Univ-Washington, DC"
,Female,Univ Maryland Baltimore Co
166,Male,Washington Lee University
,Female,Univ Toronto
167,Female,Uni. Electr. Sci&Tech of Chi
,Male,Univ Michigan Ann Arbor*
,Female,Fudan University
170,Female,Univ Minnesota Minneapolis*
168,Female,Lanzhou University
,Male,Zhejiang University
,Male,Univ Southern California
167,Female,Renmin University of China
,Female,SUN YAT-SEN University
168,Female,LIAONING UNIVERSITY
167,Male,Purdue Univ West Lafayette*
165,Male,Acharya Nagarjuna University
164,Female,University of Virginia
169,Male,"University of Illinois, U-C"
170,Male,Carnegie Mellon University
,Female,Shanghai University of IB&E
,Male,Univ Southern California
170,Female,Guangdong U of Foreign Studies
170,Male,Indiana Univ Bloomington*
,Female,Purdue Univ West Lafayette*
170,Female,Fu Jen Catholic University
160,Male,Univ Calif Los Angeles
170,Female,Southwestern Univ Finance Econ
167,Female,Wake Forest University
